# Total data length 50 seconds
# 20 ms per point
# Trigger was at 5% (line 125), t=0
# time (s)  Vtemp(V)
24.6244,1.20466
24.6444,1.20459
24.6644,1.20456
24.6844,1.20456
24.7044,1.2045
24.7244,1.20444
24.7444,1.20434
24.7644,1.20434
24.7844,1.20434
24.8044,1.20428
24.8244,1.20428
24.8444,1.20425
24.8644,1.20419
24.8844,1.20413
24.9044,1.20413
24.9244,1.20403
24.9444,1.20397
24.9644,1.20394
24.9844,1.20394
25.0044,1.20388
25.0244,1.20381
25.0444,1.20375
25.0644,1.20375
25.0844,1.20372
25.1044,1.20366
25.1244,1.20366
25.1444,1.20356
25.1644,1.2035
25.1844,1.20344
25.2044,1.20341
25.2244,1.20334
25.2444,1.20334
25.2644,1.20328
25.2844,1.20325
25.3044,1.20325
25.3244,1.20319
25.3444,1.20319
25.3644,1.20309
25.3844,1.20303
25.4044,1.20297
25.4244,1.20288
25.4444,1.20288
25.4644,1.20281
25.4844,1.20278
25.5044,1.20278
25.5244,1.20278
25.5444,1.20272
25.5644,1.20266
25.5844,1.20263
25.6044,1.20256
25.6244,1.20247
25.6444,1.20241
25.6644,1.20234
25.6844,1.20228
25.7044,1.20228
25.7244,1.20225
25.7444,1.20219
25.7644,1.20219
25.7844,1.20213
25.8044,1.20213
25.8244,1.20203
25.8444,1.20203
25.8644,1.20194
25.8844,1.20197
25.9044,1.20197
25.9244,1.20188
25.9444,1.20181
25.9644,1.20178
25.9844,1.20172
26.0044,1.20166
26.0244,1.20166
26.0444,1.20163
26.0644,1.20156
26.0844,1.20156
26.1044,1.2015
26.1244,1.20147
26.1444,1.20141
26.1644,1.20134
26.1844,1.20134
26.2044,1.20134
26.2244,1.20125
26.2444,1.20119
26.2644,1.20116
26.2844,1.20116
26.3044,1.20116
26.3244,1.20109
26.3444,1.20103
26.3644,1.201
26.3844,1.201
26.4044,1.20094
26.4244,1.20094
26.4444,1.20088
26.4644,1.20084
26.4844,1.20084
26.5044,1.20078
26.5244,1.20072
26.5444,1.20066
26.5644,1.20066
26.5844,1.20063
26.6044,1.20063
26.6244,1.2005
26.6444,1.2005
26.6644,1.2005
26.6844,1.20047
26.7044,1.20041
26.7244,1.20041
26.7444,1.20034
26.7644,1.20025
26.7844,1.20025
26.8044,1.20025
26.8244,1.20025
26.8444,1.20019
26.8644,1.20016
26.8844,1.20009
26.9044,1.20009
26.9244,1.20009
26.9444,1.20003
26.9644,1.2
26.9844,1.2
27.0044,1.19994
27.0244,1.19988
27.0444,1.19988
27.0644,1.19978
27.0844,1.19978
27.1044,1.19972
27.1244,1.19972
27.1444,1.19969
27.1644,1.19963
27.1844,1.19956
27.2044,1.19956
27.2244,1.19956
27.2444,1.19947
27.2644,1.19947
27.2844,1.19947
27.3044,1.19941
27.3244,1.19941
27.3444,1.19938
27.3644,1.19931
27.3844,1.19931
27.4044,1.19931
